Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
103	-97.11567	35.421482	-36.64091	-125.9927	1000.0	-8.267872	5.7245502	7.658619	-20.22562	416000	0.0	5.780855	-0.018697917	-5.514244	6.3337545	0.011804421	0.1465	79.0	544.3698146343231
104	-93.790794	85.90987	7.904157	-187.75822	666.8	-14.362782	5.609558	5.836316	-24.846296	420000	-2.2888184e-08	1.87665	-0.019163495	-1.1501695	6.36513	0.009978318	0.14525	79.0	549.504693031311
105	-71.42147	82.8066	2.0994556	-214.88962	582.6667	-12.572578	6.9956584	9.637333	-22.45097	424000	5.722046e-09	4.6798267	-0.0150348395	-4.5517406	6.3250065	0.014601558	0.1385	21.0	554.4613676071167
106	-128.3193	85.34775	-35.237984	-223.54613	1000.0	-12.396709	9.004389	2.8050432	-23.793715	428000	-1.8119811e-08	1.0449924	-0.020800188	-0.9603263	6.337693	0.0074768695	0.09325	79.0	559.7629067897797
107	-128.63696	58.52106	-59.30612	-220.18788	1000.0	-12.845437	5.8307347	-5.0708113	-22.87332	432000	-9.536743e-09	0.027588679	-0.0075342716	-0.013415358	6.3720174	0.006367461	0.057	9.0	564.7745254039764
108	-75.58792	95.244896	4.8161335	-252.99625	602.5	-11.790003	9.443106	8.13801	-27.870693	436000	3.8146974e-09	0.9790386	-0.00027140044	-0.7240517	6.357781	0.05223147	0.397	1.0	569.7572610378265
109	-57.83076	84.43869	4.902332	-234.57518	588.6667	-9.075106	8.954676	6.711987	-25.872063	440000	2.002716e-08	0.73155534	-0.0041562	-0.31805065	6.3559375	0.014552079	0.18175	3.0	574.686357498169
110	-32.605354	32.695995	8.273967	-91.621315	793.6	-2.6988451	4.4816093	7.5382457	-10.123592	444000	4.2915346e-08	5.562214	-0.021986257	-5.1156754	6.3649354	0.009584061	0.11225	79.0	580.4322538375854
111	-90.243065	102.53324	9.381872	-242.68051	732.2	-6.5265713	6.540468	8.660611	-14.188556	448000	-2.9563903e-08	50.212566	-0.0075556263	-46.683647	6.3685594	0.00961312	0.22925	43.0	585.36829662323
112	-70.27098	88.78675	8.294404	-229.79842	646.8	-11.171356	7.94102	7.746861	-23.809141	452000	-3.9100648e-08	3.104913	0.007076745	-1.9804144	6.3206573	0.01868277	0.1875	1.0	590.0354657173157
113	-73.61493	81.65582	2.1201644	-221.58675	791.0	-8.838814	8.132008	10.191094	-27.380877	456000	-3.8146974e-09	2.4125369	-0.026822159	-1.9843032	6.3567133	0.009264496	0.14825	79.0	595.2288942337036
114	-76.8677	88.67807	5.1864505	-237.6113	668.8	-13.704282	9.627878	8.724033	-28.185785	460000	-4.196167e-08	0.85774326	-0.024098087	-0.3688255	6.336923	0.008088523	0.0985	79.0	600.3822672367096
115	-128.21652	70.23461	-41.046925	-234.45763	1000.0	-12.85295	7.041571	0.149807	-25.716251	464000	0.0	0.24969535	-0.0146076055	-0.1482385	6.197664	0.012567346	0.145	19.0	605.4325201511383
116	-53.132935	68.431145	2.1916597	-184.01576	692.0	-7.6151476	6.425036	1.2084602	-19.999119	468000	-5.722046e-09	4.8425813	-0.0030204086	-2.8264818	6.250886	0.019520856	0.18475	3.0	610.2260136604309
117	-71.785904	90.413124	6.080841	-216.0783	753.75	-11.546514	10.244675	9.752634	-23.683916	472000	-1.4781952e-08	2.5633066	-0.02005917	-2.1349163	6.2403927	0.007274722	0.115	79.0	615.1975185871124
